,mission_id,idpu_type,idpu_time,numerator,denominator,data,10hz_mode
0,2,1,2020-09-24 00:38:21.619690,1.0,27137,fb706be7316d4769b500000000016a0100,FgmFrequencyEnum.TEN_HERTZ
1,2,1,2020-09-24 00:38:21.719690,1.0,27137,fb306bdc596d5ef71500000000026a0100,FgmFrequencyEnum.TEN_HERTZ
2,2,1,2020-09-24 00:38:21.819690,1.0,27137,fd406bcf09cd62c5b500000000036a0100,FgmFrequencyEnum.TEN_HERTZ
3,2,1,2020-09-24 00:38:21.919690,1.0,27137,fc304bbe3e8d5f5a9500000000046a0100,FgmFrequencyEnum.TEN_HERTZ
4,2,1,2020-09-24 00:38:22.019690,1.0,27137,fc606badcd2d59823500000000056a0100,FgmFrequencyEnum.TEN_HERTZ
5,2,1,2020-09-24 00:38:22.619705,2.0,27137,d6144c191ca75f229300000000066a0100,FgmFrequencyEnum.TEN_HERTZ
6,2,1,2020-09-24 00:38:23.619690,3.0,27137,b678600baec8b7672f00000000076a0100,FgmFrequencyEnum.TEN_HERTZ
7,2,1,2020-09-24 00:38:23.719690,3.0,27137,ca65a0147da8ae1a4f00000000086a0100,FgmFrequencyEnum.TEN_HERTZ
8,2,1,2020-09-24 00:38:23.819690,3.0,27137,e3628020dbe8a3c96f00000000096a0100,FgmFrequencyEnum.TEN_HERTZ
9,2,1,2020-09-24 00:38:23.919690,3.0,27137,ed61c024dc08a6582f000000000a6a0100,FgmFrequencyEnum.TEN_HERTZ
10,2,1,2020-09-24 00:38:24.019690,3.0,27137,ff3fa0312ac8a48d0f000000000b6a0100,FgmFrequencyEnum.TEN_HERTZ
11,2,1,2020-09-24 00:38:24.119690,3.0,27137,020fa036aae8b2192f000000000c6a0100,FgmFrequencyEnum.TEN_HERTZ
12,2,1,2020-09-24 00:38:24.219690,3.0,27137,0f0e40428a88b76a6f000000000d6a0100,FgmFrequencyEnum.TEN_HERTZ
13,2,1,2020-09-24 00:38:24.619690,4.0,27137,5147ff613369bec3c9000000000e6a0100,FgmFrequencyEnum.TEN_HERTZ
14,2,1,2020-09-24 00:38:24.719690,4.0,27137,49487f5fd7a9dcc1a9000000000f6a0100,FgmFrequencyEnum.TEN_HERTZ
15,2,1,2020-09-24 00:38:24.819690,4.0,27137,4818df5e75a9e9b08900000000106a0100,FgmFrequencyEnum.TEN_HERTZ
16,2,1,2020-09-24 00:38:24.919690,4.0,27137,38fb1f5db1a903fec900000000116a0100,FgmFrequencyEnum.TEN_HERTZ
17,2,1,2020-09-24 00:38:25.019690,4.0,27137,33fb7f5e460907bea900000000126a0100,FgmFrequencyEnum.TEN_HERTZ
18,2,1,2020-09-24 00:38:25.119690,4.0,27137,2acc7f5e9fc9067ec900000000136a0100,FgmFrequencyEnum.TEN_HERTZ
19,2,1,2020-09-24 00:38:25.219690,4.0,27137,27ec9f5fe949ffafa900000000146a0100,FgmFrequencyEnum.TEN_HERTZ
20,2,1,2020-09-24 00:38:25.319690,4.0,27137,0c9f1f5a9dc90f1e0900000000156a0100,FgmFrequencyEnum.TEN_HERTZ
21,2,1,2020-09-24 00:38:25.619705,5.0,27137,b4e8ff0ffd764b38c800000000166a0100,FgmFrequencyEnum.TEN_HERTZ
22,2,1,2020-09-24 00:38:26.619705,6.0,27137,d883e41b3c9aa7f21800000000176a0100,FgmFrequencyEnum.TEN_HERTZ
23,2,1,2020-09-24 00:38:26.719705,6.0,27137,ef01c426bb5a9f4ab800000000186a0100,FgmFrequencyEnum.TEN_HERTZ
24,2,1,2020-09-24 00:38:26.819705,6.0,27137,f420e42b9b7aa57fb800000000196a0100,FgmFrequencyEnum.TEN_HERTZ
25,2,1,2020-09-24 00:38:26.919705,6.0,27137,ffcfc432cadaa98a58000000001a6a0100,FgmFrequencyEnum.TEN_HERTZ
26,2,1,2020-09-24 00:38:27.019705,6.0,27137,07cf043a5a7ab698d8000000001b6a0100,FgmFrequencyEnum.TEN_HERTZ
27,2,1,2020-09-24 00:38:27.119705,6.0,27137,0a6e8441c9fac575f8000000001c6a0100,FgmFrequencyEnum.TEN_HERTZ
28,2,1,2020-09-24 00:38:27.619705,7.0,27137,4768955fa83aeac0e0000000001d6a0100,FgmFrequencyEnum.TEN_HERTZ
29,2,1,2020-09-24 00:38:27.719705,7.0,27137,4139b55ec93af6b000000000001e6a0100,FgmFrequencyEnum.TEN_HERTZ
30,2,1,2020-09-24 00:38:27.819705,7.0,27137,32cb755ebf5a075ec0000000001f6a0100,FgmFrequencyEnum.TEN_HERTZ
31,2,1,2020-09-24 00:38:27.919705,7.0,27137,31ab955f813a03bf4000000000206a0100,FgmFrequencyEnum.TEN_HERTZ
32,2,1,2020-09-24 00:38:28.019705,7.0,27137,259c55605b1a053ee000000000216a0100,FgmFrequencyEnum.TEN_HERTZ
33,2,1,2020-09-24 00:38:28.119705,7.0,27137,1eed3560ddba016f6000000000226a0100,FgmFrequencyEnum.TEN_HERTZ
34,2,1,2020-09-24 00:38:28.619705,8.0,27137,b986ff121d1c181e3000000000236a0100,FgmFrequencyEnum.TEN_HERTZ
35,2,1,2020-09-24 00:38:28.719705,8.0,27137,b2173f0d7ddc01afd000000000246a0100,FgmFrequencyEnum.TEN_HERTZ
36,2,1,2020-09-24 00:38:28.819705,8.0,27137,b0c71f09ae5cf001f000000000256a0100,FgmFrequencyEnum.TEN_HERTZ
37,2,1,2020-09-24 00:38:28.919705,8.0,27137,aca8bf071efcdfe31000000000266a0100,FgmFrequencyEnum.TEN_HERTZ
38,2,1,2020-09-24 00:38:29.019705,8.0,27137,adf95f087edccd647000000000276a0100,FgmFrequencyEnum.TEN_HERTZ
39,2,1,2020-09-24 00:38:29.119705,8.0,27137,ad795f06af3cc4d59000000000286a0100,FgmFrequencyEnum.TEN_HERTZ
40,2,1,2020-09-24 00:38:29.219705,8.0,27137,b278bf09aebcbb571000000000296a0100,FgmFrequencyEnum.TEN_HERTZ
41,2,1,2020-09-24 00:38:29.319705,8.0,27137,b6a81f0bae7cb7c790000000002a6a0100,FgmFrequencyEnum.TEN_HERTZ
42,2,1,2020-09-24 00:38:29.419705,8.0,27137,c9d5ff155cdcadddd0000000002b6a0100,FgmFrequencyEnum.TEN_HERTZ
43,2,1,2020-09-24 00:38:29.619705,9.0,27137,f2c157283b76a338f2000000002c6a0100,FgmFrequencyEnum.TEN_HERTZ
44,2,1,2020-09-24 00:38:29.719705,9.0,27137,fb8077308b56a73b92000000002d6a0100,FgmFrequencyEnum.TEN_HERTZ
45,2,1,2020-09-24 00:38:29.819705,9.0,27137,060f573a3ab6ab2a52000000002e6a0100,FgmFrequencyEnum.TEN_HERTZ
46,2,1,2020-09-24 00:38:29.919705,9.0,27137,0c6e973f2ab6be3912000000002f6a0100,FgmFrequencyEnum.TEN_HERTZ
47,2,1,2020-09-24 00:38:30.019705,9.0,27137,2bcb37539996b2799200000000306a0100,FgmFrequencyEnum.TEN_HERTZ
48,2,1,2020-09-24 00:38:30.619705,10.0,27137,404a715e6f3ef67fe200000000316a0100,FgmFrequencyEnum.TEN_HERTZ
49,2,1,2020-09-24 00:38:30.719705,10.0,27137,3afad15dc93efd4fa200000000326a0100,FgmFrequencyEnum.TEN_HERTZ
50,2,1,2020-09-24 00:38:30.819705,10.0,27137,1e1d715e7e9e146e0200000000336a0100,FgmFrequencyEnum.TEN_HERTZ
51,2,1,2020-09-24 00:38:30.919705,10.0,27137,1f0cf160ccfe06af4200000000346a0100,FgmFrequencyEnum.TEN_HERTZ
52,2,1,2020-09-24 00:38:31.019705,10.0,27137,188df15976fe07df2200000000356a0100,FgmFrequencyEnum.TEN_HERTZ
53,2,1,2020-09-24 00:38:31.119705,10.0,27137,ffa0513cc87e1a1c8200000000366a0100,FgmFrequencyEnum.TEN_HERTZ
54,2,1,2020-09-24 00:38:31.619705,11.0,27137,ae07f00a7e48fbf06400000000376a0100,FgmFrequencyEnum.TEN_HERTZ
55,2,1,2020-09-24 00:38:31.719705,11.0,27137,abf8f007bea8eb21e400000000386a0100,FgmFrequencyEnum.TEN_HERTZ
56,2,1,2020-09-24 00:38:31.819705,11.0,27137,ac3930063f28da438400000000396a0100,FgmFrequencyEnum.TEN_HERTZ
57,2,1,2020-09-24 00:38:31.919705,11.0,27137,ad78b008ef08c76524000000003a6a0100,FgmFrequencyEnum.TEN_HERTZ
58,2,1,2020-09-24 00:38:32.019705,11.0,27137,b138b0098ee8bde684000000003b6a0100,FgmFrequencyEnum.TEN_HERTZ
59,2,1,2020-09-24 00:38:32.119705,11.0,27137,bd2750102da8b17a44000000003c6a0100,FgmFrequencyEnum.TEN_HERTZ
60,2,1,2020-09-24 00:38:32.219705,11.0,27137,c246d0109dc8b19a44000000003d6a0100,FgmFrequencyEnum.TEN_HERTZ
61,2,1,2020-09-24 00:38:32.319705,11.0,27137,d773d01b2c48a79444000000003e6a0100,FgmFrequencyEnum.TEN_HERTZ
62,2,1,2020-09-24 00:38:32.419705,11.0,27137,eda170267b489eea24000000003f6a0100,FgmFrequencyEnum.TEN_HERTZ
63,2,1,2020-09-24 00:38:32.519705,11.0,27137,f650502c4ba8a68de400000000406a0100,FgmFrequencyEnum.TEN_HERTZ
64,2,1,2020-09-24 00:38:32.619705,12.0,27137,02efa736caf4a85cf700000000416a0100,FgmFrequencyEnum.TEN_HERTZ
65,2,1,2020-09-24 00:38:32.719705,12.0,27137,007007389b94bc087700000000426a0100,FgmFrequencyEnum.TEN_HERTZ
66,2,1,2020-09-24 00:38:32.819705,12.0,27137,0d2e87439ad4c656d700000000436a0100,FgmFrequencyEnum.TEN_HERTZ
67,2,1,2020-09-24 00:38:33.619690,13.0,27137,303b845e9d360c1ea700000000446a0100,FgmFrequencyEnum.TEN_HERTZ
68,2,1,2020-09-24 00:38:33.719690,13.0,27137,237c8460179609bf0700000000456a0100,FgmFrequencyEnum.TEN_HERTZ
69,2,1,2020-09-24 00:38:33.819690,13.0,27137,1d2d6460a136075f4700000000466a0100,FgmFrequencyEnum.TEN_HERTZ
70,2,1,2020-09-24 00:38:34.619705,14.0,27137,ab894c06bed7e152c400000000476a0100,FgmFrequencyEnum.TEN_HERTZ
71,2,1,2020-09-24 00:38:34.719705,14.0,27137,adc8cc07ded7cd94c400000000486a0100,FgmFrequencyEnum.TEN_HERTZ
72,2,1,2020-09-24 00:38:34.819705,14.0,27137,aec8ac09ee97c0958400000000496a0100,FgmFrequencyEnum.TEN_HERTZ
73,2,1,2020-09-24 00:38:34.919705,14.0,27137,b2582c0a9e77b9c684000000004a6a0100,FgmFrequencyEnum.TEN_HERTZ
74,2,1,2020-09-24 00:38:35.019705,14.0,27137,ba86ec0f7db7b377e4000000004b6a0100,FgmFrequencyEnum.TEN_HERTZ
75,2,1,2020-09-24 00:38:35.119705,14.0,27137,cc44cc18bc37aa60a4000000004c6a0100,FgmFrequencyEnum.TEN_HERTZ
76,2,1,2020-09-24 00:38:35.219705,14.0,27137,e7920c22cb57a3d144000000004d6a0100,FgmFrequencyEnum.TEN_HERTZ
77,2,1,2020-09-24 00:38:35.319705,14.0,27137,f7b04c2dba779cbf44000000004e6a0100,FgmFrequencyEnum.TEN_HERTZ
78,2,1,2020-09-24 00:38:35.419705,14.0,27137,fae00c328ab7a55c64000000004f6a0100,FgmFrequencyEnum.TEN_HERTZ
79,2,1,2020-09-24 00:38:35.519705,14.0,27137,012f4c371a97aff90400000000506a0100,FgmFrequencyEnum.TEN_HERTZ
80,2,1,2020-09-24 00:38:35.619705,15.0,27137,0a3f0c40ba86bc28e500000000516a0100,FgmFrequencyEnum.TEN_HERTZ
81,2,1,2020-09-24 00:38:36.619690,16.0,27137,250c9d612622033f3200000000526a0100,FgmFrequencyEnum.TEN_HERTZ
82,2,1,2020-09-24 00:38:36.719690,16.0,27137,1afd3d599642035f1200000000536a0100,FgmFrequencyEnum.TEN_HERTZ
83,2,1,2020-09-24 00:38:37.619705,17.0,27137,af88830abe74c4f4da00000000546a0100,FgmFrequencyEnum.TEN_HERTZ
84,2,1,2020-09-24 00:38:37.719705,17.0,27137,af986308deb4bf85fa00000000556a0100,FgmFrequencyEnum.TEN_HERTZ
85,2,1,2020-09-24 00:38:37.819705,17.0,27137,b418430a8e74ba76da00000000566a0100,FgmFrequencyEnum.TEN_HERTZ
86,2,1,2020-09-24 00:38:37.919705,17.0,27137,bd67230f5dd4b5381a00000000576a0100,FgmFrequencyEnum.TEN_HERTZ
87,2,1,2020-09-24 00:38:38.019705,17.0,27137,ce9523193c94ac007a00000000586a0100,FgmFrequencyEnum.TEN_HERTZ
88,2,1,2020-09-24 00:38:38.619705,18.0,27137,3cc97b5b9b00ae373600000000596a0100,FgmFrequencyEnum.TEN_HERTZ
89,2,1,2020-09-24 00:38:38.719705,18.0,27137,5016db635060a9f6f6000000005a6a0100,FgmFrequencyEnum.TEN_HERTZ
90,2,1,2020-09-24 00:38:38.819705,18.0,27137,4fb7db61fe00b8e476000000005b6a0100,FgmFrequencyEnum.TEN_HERTZ
91,2,1,2020-09-24 00:38:38.919705,18.0,27137,4958fb6065a0d41216000000005c6a0100,FgmFrequencyEnum.TEN_HERTZ
92,2,1,2020-09-24 00:38:39.019705,18.0,27137,4a57bb5f56a0e590d6000000005d6a0100,FgmFrequencyEnum.TEN_HERTZ
93,2,1,2020-09-24 00:38:39.119705,18.0,27137,3f1a7b5e4080f9cf96000000005e6a0100,FgmFrequencyEnum.TEN_HERTZ
94,2,1,2020-09-24 00:38:39.219705,18.0,27137,302bdb5e2a600b0e36000000005f6a0100,FgmFrequencyEnum.TEN_HERTZ
95,2,1,2020-09-24 00:38:39.319705,18.0,27137,2edbfb5efec0083eb600000000606a0100,FgmFrequencyEnum.TEN_HERTZ
96,2,1,2020-09-24 00:38:39.419705,18.0,27137,210cfb6074c00c2e5600000000616a0100,FgmFrequencyEnum.TEN_HERTZ
97,2,1,2020-09-24 00:38:39.519705,18.0,27137,221cdb607b40047f5600000000626a0100,FgmFrequencyEnum.TEN_HERTZ
98,2,1,2020-09-24 00:38:39.619705,19.0,27137,fb406c3ad4972cebcd00000000636a0100,FgmFrequencyEnum.TEN_HERTZ
99,2,1,2020-09-24 00:38:40.619705,20.0,27137,b507c30b6e9db9f74300000000646a0100,FgmFrequencyEnum.TEN_HERTZ
100,2,1,2020-09-24 00:38:40.719705,20.0,27137,bac7830ffd9db3878300000000656a0100,FgmFrequencyEnum.TEN_HERTZ
101,2,1,2020-09-24 00:38:40.819705,20.0,27137,c835e3161cbdaebb2300000000666a0100,FgmFrequencyEnum.TEN_HERTZ
102,2,1,2020-09-24 00:38:40.919705,20.0,27137,e71263203bfda4840300000000676a0100,FgmFrequencyEnum.TEN_HERTZ
103,2,1,2020-09-24 00:38:41.019705,20.0,27137,f610a32c7abd9ffa8300000000686a0100,FgmFrequencyEnum.TEN_HERTZ
104,2,1,2020-09-24 00:38:41.119705,20.0,27137,fef003355adda31ca300000000696a0100,FgmFrequencyEnum.TEN_HERTZ
105,2,1,2020-09-24 00:38:41.219705,20.0,27137,ffafc3378a5db06923000000006a6a0100,FgmFrequencyEnum.TEN_HERTZ
106,2,1,2020-09-24 00:38:41.319705,20.0,27137,09eec340c9fdbec903000000006b6a0100,FgmFrequencyEnum.TEN_HERTZ
107,2,1,2020-09-24 00:38:41.619705,21.0,27137,4db7a262b71cb5753b000000006c6a0100,FgmFrequencyEnum.TEN_HERTZ
108,2,1,2020-09-24 00:38:41.719705,21.0,27137,4e982261557cc2933b000000006d6a0100,FgmFrequencyEnum.TEN_HERTZ
109,2,1,2020-09-24 00:38:42.619705,22.0,27137,d7c45d258b67366a1b000000006e6a0100,FgmFrequencyEnum.TEN_HERTZ
110,2,1,2020-09-24 00:38:42.719705,22.0,27137,b9083d12bd674689fb000000006f6a0100,FgmFrequencyEnum.TEN_HERTZ
111,2,1,2020-09-24 00:38:42.819705,22.0,27137,b6b83d111d872d4c5b00000000706a0100,FgmFrequencyEnum.TEN_HERTZ
112,2,1,2020-09-24 00:38:42.919705,22.0,27137,b3e7fd0f8d870f3e7b00000000716a0100,FgmFrequencyEnum.TEN_HERTZ
113,2,1,2020-09-24 00:38:43.019705,22.0,27137,ae17bd0ade67fc105b00000000726a0100,FgmFrequencyEnum.TEN_HERTZ
114,2,1,2020-09-24 00:38:43.119705,22.0,27137,ab693d06ef07ebc1fb00000000736a0100,FgmFrequencyEnum.TEN_HERTZ
115,2,1,2020-09-24 00:38:43.219705,22.0,27137,ad589d076f07d663db00000000746a0100,FgmFrequencyEnum.TEN_HERTZ
116,2,1,2020-09-24 00:38:43.319705,22.0,27137,adb91d084f27c9f51b00000000756a0100,FgmFrequencyEnum.TEN_HERTZ
117,2,1,2020-09-24 00:38:43.419705,22.0,27137,b1c89d0a9ec7bd569b00000000766a0100,FgmFrequencyEnum.TEN_HERTZ
118,2,1,2020-09-24 00:38:43.519705,22.0,27137,b748bd0dde27b6987b00000000776a0100,FgmFrequencyEnum.TEN_HERTZ
119,2,1,2020-09-24 00:38:43.619705,23.0,27137,c2173d140d56ae690a00000000786a0100,FgmFrequencyEnum.TEN_HERTZ
120,2,1,2020-09-24 00:38:43.719705,23.0,27137,d144fd1adc96ab9cca00000000796a0100,FgmFrequencyEnum.TEN_HERTZ
121,2,1,2020-09-24 00:38:44.619705,24.0,27137,4e185260f967cef279000000007a6a0100,FgmFrequencyEnum.TEN_HERTZ
122,2,1,2020-09-24 00:38:44.719705,24.0,27137,4d87b25f4c27df9179000000007b6a0100,FgmFrequencyEnum.TEN_HERTZ
123,2,1,2020-09-24 00:38:44.819705,24.0,27137,40e9d25dc607f68fb9000000007c6a0100,FgmFrequencyEnum.TEN_HERTZ
124,2,1,2020-09-24 00:38:44.919705,24.0,27137,34eb925d604707bed9000000007d6a0100,FgmFrequencyEnum.TEN_HERTZ
125,2,1,2020-09-24 00:38:45.019705,24.0,27137,29ac925e03c70e5e19000000007e6a0100,FgmFrequencyEnum.TEN_HERTZ
126,2,1,2020-09-24 00:38:45.119705,24.0,27137,23acb25f72c70b7e39000000007f6a0100,FgmFrequencyEnum.TEN_HERTZ
127,2,1,2020-09-24 00:38:45.219705,24.0,27137,1add7261a687054f1900000000806a0100,FgmFrequencyEnum.TEN_HERTZ
128,2,1,2020-09-24 00:38:45.619705,25.0,27137,b4f86b11cd273bbb2f00000000816a0100,FgmFrequencyEnum.TEN_HERTZ
129,2,1,2020-09-24 00:38:45.719705,25.0,27137,b2b7cb102d271f1d6f00000000826a0100,FgmFrequencyEnum.TEN_HERTZ
130,2,1,2020-09-24 00:38:45.819705,25.0,27137,b177eb0eeda701bfef00000000836a0100,FgmFrequencyEnum.TEN_HERTZ
131,2,1,2020-09-24 00:38:45.919705,25.0,27137,ad68eb0a0e67f1b16f00000000846a0100,FgmFrequencyEnum.TEN_HERTZ
132,2,1,2020-09-24 00:38:46.019705,25.0,27137,ab79cb06df07e262cf00000000856a0100,FgmFrequencyEnum.TEN_HERTZ
133,2,1,2020-09-24 00:38:46.119705,25.0,27137,af096b0bde87c8c50f00000000866a0100,FgmFrequencyEnum.TEN_HERTZ
134,2,1,2020-09-24 00:38:46.219705,25.0,27137,aec98b093f27c4b58f00000000876a0100,FgmFrequencyEnum.TEN_HERTZ
135,2,1,2020-09-24 00:38:46.319705,25.0,27137,b5680b0b3ec7b9e80f00000000886a0100,FgmFrequencyEnum.TEN_HERTZ
136,2,1,2020-09-24 00:38:46.419705,25.0,27137,bbd7ab10ddc7b3f8ef00000000896a0100,FgmFrequencyEnum.TEN_HERTZ
137,2,1,2020-09-24 00:38:46.519705,25.0,27137,be474b12bd67b4c88f000000008a6a0100,FgmFrequencyEnum.TEN_HERTZ
138,2,1,2020-09-24 00:38:46.619705,26.0,27137,e5e29223eb16a56d4d000000008b6a0100,FgmFrequencyEnum.TEN_HERTZ
139,2,1,2020-09-24 00:38:46.719705,26.0,27137,f8b0922e6af69caead000000008c6a0100,FgmFrequencyEnum.TEN_HERTZ
140,2,1,2020-09-24 00:38:46.819705,26.0,27137,f97072311b56aa5d6d000000008d6a0100,FgmFrequencyEnum.TEN_HERTZ
141,2,1,2020-09-24 00:38:46.919705,26.0,27137,034f723a3ad6ae792d000000008e6a0100,FgmFrequencyEnum.TEN_HERTZ
142,2,1,2020-09-24 00:38:47.019705,26.0,27137,055f123f5a76c1770d000000008f6a0100,FgmFrequencyEnum.TEN_HERTZ
143,2,1,2020-09-24 00:38:47.619705,27.0,27137,43799a5dbc71ed707300000000906a0100,FgmFrequencyEnum.TEN_HERTZ
144,2,1,2020-09-24 00:38:47.719705,27.0,27137,397b3a5d03b106cef300000000916a0100,FgmFrequencyEnum.TEN_HERTZ
145,2,1,2020-09-24 00:38:47.819705,27.0,27137,31bbba5d20b10b9e9300000000926a0100,FgmFrequencyEnum.TEN_HERTZ
