,fgs_fsp_res_dmxl
96,"[3.426682192007945, -19.109304755865367, -5.718420525007936]"
97,"[12.509860939576221, -15.128857429228674, -3.878811158655271]"
98,"[10.520164573794581, -19.84326465042591, 3.5234277010208856]"
99,"[10.550138660923984, -13.530598511571384, -4.42313551589336]"
100,"[14.918768855004124, -22.531307480520695, 10.963724519342112]"
101,"[23.918781873390586, -14.337883953926053, 13.72336029077318]"
102,"[28.7690771345568, -22.617228798983888, 39.29137616629478]"
103,"[25.712527725123863, -14.115964753001435, 23.254978662078724]"
104,"[23.502413388826405, -20.935491987659134, 31.56977284120917]"
105,"[32.5645754048154, -15.048048639557805, 15.718322143245516]"
106,"[36.822619298581145, -21.069349561955505, 30.146902007147208]"
107,"[40.121958679729175, -9.793065573160447, 11.202757568619187]"
108,"[45.375288054711916, -20.415429705699694, 11.482599334649262]"
109,"[36.25183132952664, -8.861560437616845, 9.334033825436201]"
110,"[37.03884840507131, -19.227923791688795, 16.72398963877857]"
111,"[48.87976178083331, -9.61178177331658, 6.63911949780584]"
112,"[45.73157411079861, -15.468822918867886, 12.89483310905122]"
113,"[39.7695803712929, -6.366789824456191, -1.4800590557052544]"
114,"[50.90202909045875, -14.98955866164306, 15.576760454373318]"
115,"[63.52535778986054, -4.614426833667494, 11.717353143241947]"
116,"[72.86891371759882, -15.993270008426066, 29.140694844245022]"
117,"[60.78118184016499, -3.711656012351, 14.480404055288187]"
118,"[59.981950360908414, -12.819696994174933, 25.182850030784444]"
119,"[68.02478682032803, -2.152722828653509, 27.519611547523603]"
120,"[60.8142111419582, -11.627795875651032, 41.67675853489781]"
121,"[40.4893958460525, 2.1490854161174866, 25.82861248558668]"
