,timestamp,mission_id,idpu_type,idpu_time,numerator,denominator,data
11,2020-10-09 18:59:10.628720,2.0,2.0,2020-09-24 00:38:31.619705,11.0,2988.0,b'\t \x00$18\xa5\x9e\xae\x07\xf0\n~H\xfb\xf0d]\x9e\x17\x8f\xd5\x0e\x83P%\xa4\x9f\x8a<\xc6\xef\xc1\xe1\xfd\xe3\xccy8\x00\xdf\xfe\xfc\x93\xd4\x89\x0e\xa4\xff\xd9&\xc4U\xf84\xe0Fp\x02^h#\xdd\x18c\x02H\xed\xa4J\xf0\xfc(\x9f\x0e\xe5\x93\xc1\x93\x93\x0f\x00'
12,2020-09-25 02:47:29.000000,2.0,2.0,2020-09-24 00:38:32.619705,12.0,2988.0,b'\t \x00$28\xa5\x9e\x02\xef\xa76\xca\xf4\xa8\\\xf7^\x7f\xa3I\xe1N\x93.\x04z\x11\xbe\x88\xae|\x96T\xf2O\x89y>\x14>O\xe69\x8cM\xf9\x96^+v9\xa4\xed\xe3\xb3\xb2\xd2p\x03\x8763\xba\xd2G\xa2G8-\xbe\x96Je\x93>2I3J\xcezH\x95\xb4'
13,2020-10-09 19:04:18.748657,2.0,2.0,2020-09-24 00:38:33.619690,13.0,2988.0,"b""\t \x00$38\xa4\x9e0;\x84^\x9d6\x0c\x1e\xa7H\xf8\x1aI\xa6\xbd\xfdg^F\xf4\xd5\xef\xf3'M|\x99?v9\xb9\x12Q\xa6[ds\xf6rp\x8d\x94\xec%\x9396K\x06\xb4\xa0,\x92^f\xcf\xcdy\x0f\x8c\x94p]\xa0V\xaf\xac\x88l]\x7f\xaf#\xf1RW """
14,2020-09-26 02:11:43.000000,2.0,2.0,2020-09-24 00:38:34.619705,14.0,2988.0,"b""\t \x00$48\xa5\x9e\xab\x89L\x06\xbe\xd7\xe1R\xc4\x1d\xff\x06\xe0\x07\xa4\xde\x03o\xf1\xd9\xf97\xd0\xf2W\xc1\xa1\xfd\x98\xf0{\xbb\x14\xfag]E&\xef?\xbd\x1fWD\x9aV\xa2\x19\xe5\x9f\xbd\x89\xbc\x88\xcf,\xd4\x80\xfc\xfcR\x08\xff\xe9'^\x8b\xef\xe4\x7f("""
15,2020-09-25 02:47:30.000000,2.0,2.0,2020-09-24 00:38:35.619705,15.0,2988.0,b'\t \x00$58\xa5\x9e\n?\x0c@\xba\x86\xbc(\xe5\xde8\xc9Y\xe1\x89\xfdm5\xf3k4\x92I5=-\xe9$\xb1\xd8L\x00[\x9b\x08\x9f\x9a\xf2_\xe5\xa4\x83\x04\x93\xdd\x06\xef\xb5\xa4\xb1\xe7\xaf\xc5I\x1aV\x92>\x92i?\x8aJ\xe47\xb8\x1aK\xee\xfb\xfd\x8d\xb8\xc6\x80\x00'
16,2020-09-25 02:47:30.000000,2.0,2.0,2020-09-24 00:38:36.619690,16.0,2988.0,"b'\t \x00$68\xa4\x9e%\x0c\x9da&""\x03?2a\x9e\xd9\xc9_\xc6o\xfe\x1c\xb3RrnM*\x83&\x93\xf2\xba\xba\x00\xf0NL\xf8Z\xf7\xc9$\xf4l\x92W\x07\x0e\xc4\xe4\xff\xabh\x11\xa5\xfe\xe4\xdc.\xd9$#?\xf9W9>\xfd\xac\xe4\xae\xac\xd3\xd0\xed\xf44\x8f\xb6I$\xef'"
17,2020-09-25 02:47:30.000000,2.0,2.0,2020-09-24 00:38:37.619705,17.0,2988.0,"b'\t \x00$78\xa5\x9e\xaf\x88\x83\n\xbet\xc4\xf4\xda\x19\x9f\xd6\x93\xff6H\xeeY\xff\x8d&~jy>Wr\x8fm\xefas\x81\xf2\x7fg\xfa\xf7g\xe3\t^\x18\xee\xd0gc\xe5\xfeZ\x02G\x93=\x8f%~""F\x88\xf2g\xe2r\xbd\x91%f\x13:\x1f\xcf\x86\x91\xe0'"
18,2020-09-26 02:11:43.000000,2.0,2.0,2020-09-24 00:38:38.619705,18.0,2988.0,b'\t \x00$88\xa5\x9e<\xc9{[\x9b\x00\xae76:V\xb2rj\xb6\xd0%\xaf\xc2\xd2\xc9\x9b63\xbe\xebIp\xc976\x8d\xbd\x96O\x02\x92{1\xddK+\x12W\xf6vuY\xacE\xde\xabJ\xfe1F\xb8\xf8\x92w\x81\xa4\x96\x03\xc8}\x19?\x8c\xc6\x8c\xe4\xcf\x00'
19,2020-09-26 02:11:44.000000,2.0,2.0,2020-09-24 00:38:39.619705,19.0,2988.0,"b'\t \x00$98\xa5\x9e\xfb@l:\xd4\x97,\xeb\xcd\xe4t\xf3\xd2l\x93\x86\xd6O\x1cj\x92;\x9aN\xee3~\xad$~d\xbc\xd6\x92WFr\x7f\x97\x9d\xc5m\n5\x82dsZ\xed\xfe\xba\xfdz<\x96\x92\xc0\xae<\xab\xfdF\x93\x81\x8e\xcf\xcfI|F\xe8\x01\x8f\xf6$\xfe\xe0'"
20,2020-09-26 02:11:44.000000,2.0,2.0,2020-09-24 00:38:40.619705,20.0,2988.0,"b'\t \x00$@8\xa5\x9e\xb5\x07\xc3\x0bn\x9d\xb9\xf7C,\x9b\xf8\xbe\xf0\xceo\xc1$s&\xdf-\x18\xc9\x07!\r\xf4\xc3\xdc\x9by\x03\xfb7\xd3\x0f>\xcf\xc0#\xf0\x88\xd1\xfc;\xbe\x04\xac\x84?\xc1\xfd\xfak\xff\xffn\x92L\xdc\xf2\xfe$\xd2FB$$\xbe\xe1\xc0'"
